name	rating	user_ratings_total	types	address	latitude	longitude
호식이두마리치킨	3.7	3	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용운동 306-16	36.3278049	127.4592907
판암면옥	3.7	291	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 판암동 498-21	36.318841	127.4520535
미스터보쌈5379 대전용운점	4.3	12	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용운동 294-14	36.3281885	127.4583234
스모프치킨	5	2	"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용운동 494-9	36.3275328	127.4477647
싱글즈	5	1	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 자양동 54-6	36.3373381	127.4480887
굽네치킨	2.9	8	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 가오동 461	36.3109684	127.4563546
차이하나	4.6	302	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 자양동 90-8	36.3378887	127.4526709
그때그집 병천순대 우송대점	4.4	40	"['restaurant', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']"	대전 동구 대동 358-1	36.3335579	127.4463224
일미닭갈비파전식당	4.4	13	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가양동 147-1	36.348392	127.4533608
장수촌	4.4	14	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 세천동 28-8	36.3393596	127.4915928
식장산다육	5	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 삼정동 29-1	36.3322541	127.4775663
대산농장식당	1	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 추동 390-4	36.3682997	127.4753362
만두예찬	3.5	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 세천동 340-6	36.330816	127.4815635
세천추어탕	4.1	30	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 세천동 340-6	36.3307882	127.481606
콩밭	3.3	13	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 세천동 348-3	36.3305319	127.4827605
